KEY,TICKER,DATE,TIME,CLOSE
87,VKCO,2024-05-17,20:00:00,629.1860631349782
88,VKCO,2024-05-17,21:00:00,629.1860631349782
89,VKCO,2024-05-17,22:00:00,629.1860631349782
90,VKCO,2024-05-17,23:00:00,629.1860631349782
91,VKCO,2024-05-20,10:00:00,629.1860631349782
92,VKCO,2024-05-20,11:00:00,629.1860631349782
93,VKCO,2024-05-20,12:00:00,629.1860631349782
94,VKCO,2024-05-20,13:00:00,629.1860631349782
95,VKCO,2024-05-20,14:00:00,629.1860631349782
96,VKCO,2024-05-20,15:00:00,629.1860631349782
97,VKCO,2024-05-20,16:00:00,629.1860631349782
98,VKCO,2024-05-20,17:00:00,629.1860631349782
99,VKCO,2024-05-20,18:00:00,629.1860631349782
100,VKCO,2024-05-20,20:00:00,629.1860631349782
101,VKCO,2024-05-20,21:00:00,629.1860631349782
102,VKCO,2024-05-20,22:00:00,629.1860631349782
103,VKCO,2024-05-20,23:00:00,629.1860631349782
104,VKCO,2024-05-21,10:00:00,629.1860631349782
105,VKCO,2024-05-21,11:00:00,629.1860631349782
106,VKCO,2024-05-21,12:00:00,629.1860631349782
107,VKCO,2024-05-21,13:00:00,629.1860631349782
108,VKCO,2024-05-21,14:00:00,629.1860631349782
109,VKCO,2024-05-21,15:00:00,629.1860631349782
110,VKCO,2024-05-21,16:00:00,629.1860631349782
111,VKCO,2024-05-21,17:00:00,629.1860631349782
112,VKCO,2024-05-21,18:00:00,629.1860631349782
113,VKCO,2024-05-21,20:00:00,629.1860631349782
114,VKCO,2024-05-21,21:00:00,629.1860631349782
115,VKCO,2024-05-21,22:00:00,629.1860631349782
116,VKCO,2024-05-21,23:00:00,629.1860631349782
117,VKCO,2024-05-22,10:00:00,629.1860631349782
118,VKCO,2024-05-22,11:00:00,629.1860631349782
119,VKCO,2024-05-22,12:00:00,629.1860631349782
120,VKCO,2024-05-22,13:00:00,629.1860631349782
121,VKCO,2024-05-22,14:00:00,629.1860631349782
122,VKCO,2024-05-22,15:00:00,629.1860631349782
123,VKCO,2024-05-22,16:00:00,629.1860631349782
124,VKCO,2024-05-22,17:00:00,629.1860631349782
125,VKCO,2024-05-22,18:00:00,629.1860631349782
126,VKCO,2024-05-22,20:00:00,629.1860631349782
127,VKCO,2024-05-22,21:00:00,629.1860631349782
128,VKCO,2024-05-22,22:00:00,629.1860631349782
129,VKCO,2024-05-23,10:00:00,629.1860631349782
130,VKCO,2024-05-23,11:00:00,629.1860631349782
131,VKCO,2024-05-23,12:00:00,629.1860631349782
132,VKCO,2024-05-23,13:00:00,629.1860631349782
133,VKCO,2024-05-23,14:00:00,629.1860631349782
134,VKCO,2024-05-23,15:00:00,629.1860631349782
135,VKCO,2024-05-23,16:00:00,629.1860631349782
136,VKCO,2024-05-23,17:00:00,629.1860631349782
137,VKCO,2024-05-23,18:00:00,629.1860631349782
138,VKCO,2024-05-23,20:00:00,629.1860631349782
139,VKCO,2024-05-23,21:00:00,629.1860631349782
140,VKCO,2024-05-23,22:00:00,629.1860631349782
141,VKCO,2024-05-23,23:00:00,629.1860631349782
142,VKCO,2024-05-24,10:00:00,629.1860631349782
143,VKCO,2024-05-24,11:00:00,629.1860631349782
144,VKCO,2024-05-24,12:00:00,629.1860631349782
145,VKCO,2024-05-24,13:00:00,629.1860631349782
146,VKCO,2024-05-24,14:00:00,629.1860631349782
147,VKCO,2024-05-24,15:00:00,629.1860631349782
148,VKCO,2024-05-24,16:00:00,629.1860631349782
149,VKCO,2024-05-24,17:00:00,629.1860631349782
150,VKCO,2024-05-24,18:00:00,629.1860631349782
151,VKCO,2024-05-24,20:00:00,629.1860631349782
152,VKCO,2024-05-24,21:00:00,629.1860631349782
153,VKCO,2024-05-24,22:00:00,629.1860631349782
154,VKCO,2024-05-24,23:00:00,629.1860631349782
155,VKCO,2024-05-27,10:00:00,629.1860631349782
156,VKCO,2024-05-27,11:00:00,629.1860631349782
157,VKCO,2024-05-27,12:00:00,629.1860631349782
158,VKCO,2024-05-27,13:00:00,629.1860631349782
159,VKCO,2024-05-27,14:00:00,629.1860631349782
160,VKCO,2024-05-27,15:00:00,629.1860631349782
161,VKCO,2024-05-27,16:00:00,629.1860631349782
162,VKCO,2024-05-27,17:00:00,629.1860631349782
163,VKCO,2024-05-27,18:00:00,629.1860631349782
164,VKCO,2024-05-27,20:00:00,629.1860631349782
165,VKCO,2024-05-27,21:00:00,629.1860631349782
166,VKCO,2024-05-27,22:00:00,629.1860631349782
167,VKCO,2024-05-27,23:00:00,629.1860631349782
168,VKCO,2024-05-28,10:00:00,629.1860631349782
169,VKCO,2024-05-28,11:00:00,629.1860631349782
170,VKCO,2024-05-28,12:00:00,629.1860631349782
171,VKCO,2024-05-28,13:00:00,629.1860631349782
172,VKCO,2024-05-28,14:00:00,629.1860631349782
173,VKCO,2024-05-28,15:00:00,629.1860631349782
174,VKCO,2024-05-28,16:00:00,629.1860631349782
175,VKCO,2024-05-28,17:00:00,629.1860631349782
176,VKCO,2024-05-28,18:00:00,629.1860631349782
177,VKCO,2024-05-28,20:00:00,629.1860631349782
178,VKCO,2024-05-28,21:00:00,629.1860631349782
179,VKCO,2024-05-28,22:00:00,629.1860631349782
180,VKCO,2024-05-28,23:00:00,629.1860631349782
181,VKCO,2024-05-29,10:00:00,629.1860631349782
182,VKCO,2024-05-29,11:00:00,629.1860631349782
183,VKCO,2024-05-29,12:00:00,629.1860631349782
184,VKCO,2024-05-29,13:00:00,629.1860631349782
185,VKCO,2024-05-29,14:00:00,629.1860631349782
186,VKCO,2024-05-29,15:00:00,629.1860631349782
187,VKCO,2024-05-29,16:00:00,629.1860631349782
188,VKCO,2024-05-29,17:00:00,629.1860631349782
189,VKCO,2024-05-29,18:00:00,629.1860631349782
190,VKCO,2024-05-29,20:00:00,629.1860631349782
191,VKCO,2024-05-29,21:00:00,629.1860631349782
